unit_id,unit_type,unit_title,rank,score,overlap,tag,full_label,file,line,kind,section_title,snippet,query_sha256,status
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,1,25.274889,affine;of;space;subsets,0B2Q,varieties-lemma-intersection-in-affine-space,varieties.tex,6339,lemma,Projective space,"egin lemma Let k be a field and n 0 . Let X, Y A n k be closed subsets. Assume that X and Y are equidimensional, im(X) = r and im(Y) = s . Then every irreducible component of X ap Y has dimension r + s - n .",7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,2,24.030076,analytic;of;space,,pione-section-comparison-complex,pione.tex,1602,section,Comparison over the complex numbers,Comparison over the complex numbers Let X be a scheme of finite type over C . We write X an for the associated complex analytic space and X( C ) for its underlying s,7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,3,21.182378,affine;of;subsets,0GZM,examples-lemma-no-chevalley,examples.tex,1950,lemma,Images of locally closed subsets,egin lemma There exists a morphism f : X o Y of finite presentation between affine schemes and a locally closed subset T of X such that f(T) is not a finite union of locally closed subsets of Y .,7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,4,20.659663,affine;of;subsets,0GZL,examples-section-non-chevalley,examples.tex,1893,section,Images of locally closed subsets,"Images of locally closed subsets Chevalley's theorem says that the image of a constructible set by a finitely presented morphism of affine schemes is constructible, see Algebra, Theorem ef a",7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,5,20.394694,of;space;subsets,027F,exercises-definition-Noetherian-space,exercises.tex,573,definition,The Spectrum of a ring,egin definition A topological space X is called Noetherian if any decreasing sequence Z 1 Z 2 Z 3 of closed subsets of X stabilizes. (It is called Artinian if any increasing sequence of closed subsets stabilizes.),7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,6,19.144481,of;space;subsets,0055,topology-definition-Krull,topology.tex,1392,definition,Krull dimension,"egin definition Let X be a topological space. egin enumerate A chain of irreducible closed subsets of X is a sequence Z 0 Z 1 Z n X with Z i closed irreducible and Z i = Z i + 1 for i = 0, , n - 1 . The length of a chain Z 0 Z 1 Z n X of irreducible closed subsets of X is the int",7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,7,18.840573,affine;of;space,01M0,constructions-definition-affine-n-space,constructions.tex,745,definition,Affine n-space,"egin definition Let S be a scheme and n 0 . The scheme A n S = nderline S( O S[T 1, , T n]) over S is called affine n -space over S . If S = (R) is affine then we also call this affine n -space over R and we denote it A n R .",7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,8,18.694005,of;space;subsets,005Y,topology-lemma-jacobson-equivalent-constructible,topology.tex,3502,lemma,Jacobson spaces,"egin lemma Suppose X is a Jacobson topological space. Let X 0 be the set of closed points of X . There is a bijective, inclusion preserving correspondence \ ext constructible subsets of X\ \ ext constructible subsets of X 0\ given by E E ap X 0 . This correspondence preserves the",7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,9,18.557199,of;space;subsets,02I6,topology-lemma-catenary-in-codimension,topology.tex,1566,lemma,Codimension and catenary spaces,"egin lemma Let X be a topological space. The following are equivalent: egin enumerate X is catenary, and for every pair of irreducible closed subsets Y Y' we have ext codim (Y, Y') < and for every triple Y Y' Y'' of irreducible closed subsets we have ext codim (Y, Y'') = ext codi",7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
gaga:no:1,numbered_unit,1. Analytic subsets of affine space,10,18.489016,of;space;subsets,005L,topology-lemma-constructible-Noetherian-space,topology.tex,2871,lemma,Constructible sets and Noetherian spaces,egin lemma Let X be a Noetherian topological space. The constructible sets in X are precisely the finite unions of locally closed subsets of X .,7EA4BE03BCC46AC77EED70FD0918A5EEDCD86C8808FA95CDB1B59093E7AFC91E,lexical_candidate_only
