id,work,item,unit_type,parent_id,title_en,summary_en,source_start,source_end,authority_sha256,source_file,source_line,topics
gaga:introduction,GAGA,gaga:introduction,section,gaga,Introduction,Introduction,english_source_aligned_workpass/components/00_title_and_introduction.tex:13,english_source_aligned_workpass/components/00_title_and_introduction.tex:13,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/00_title_and_introduction.tex,13,
gaga:section:1,GAGA,gaga:section:1,section,gaga,1. Analytic spaces,1. Analytic spaces,english_source_aligned_workpass/components/01_analytic_spaces.tex:1,english_source_aligned_workpass/components/01_analytic_spaces.tex:1,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/01_analytic_spaces.tex,1,analytic-space
gaga:no:1,GAGA,gaga:no:1,numbered_unit,gaga,1. Analytic subsets of affine space,1. Analytic subsets of affine space,english_source_aligned_workpass/components/01_analytic_spaces.tex:3,english_source_aligned_workpass/components/01_analytic_spaces.tex:3,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/01_analytic_spaces.tex,3,analytic-space
gaga:no:2,GAGA,gaga:no:2,numbered_unit,gaga,2. The notion of analytic space,2. The notion of analytic space,english_source_aligned_workpass/components/01_analytic_spaces.tex:31,english_source_aligned_workpass/components/01_analytic_spaces.tex:31,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/01_analytic_spaces.tex,31,analytic-space
gaga:def:1,GAGA,gaga:def:1,definition,gaga,"Definition 1. --- An analytic space is a set X endowed with a topology and with a subsheaf H X of the sheaf C(X) , subject to the following axioms:","Definition 1. --- An analytic space is a set X endowed with a topology and with a subsheaf H X of the sheaf C(X) , subject to the following axioms:",english_source_aligned_workpass/components/01_analytic_spaces.tex:33,english_source_aligned_workpass/components/01_analytic_spaces.tex:33,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/01_analytic_spaces.tex,33,analytic-space
gaga:no:3,GAGA,gaga:no:3,numbered_unit,gaga,3. Analytic sheaves,3. Analytic sheaves,english_source_aligned_workpass/components/01_analytic_spaces.tex:45,english_source_aligned_workpass/components/01_analytic_spaces.tex:45,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/01_analytic_spaces.tex,45,
gaga:prop:1,GAGA,gaga:prop:1,proposition,gaga,"Proposition 1. --- a) The sheaf H X is a coherent sheaf of rings (18, no. 15).","Proposition 1. --- a) The sheaf H X is a coherent sheaf of rings (18, no. 15).",english_source_aligned_workpass/components/01_analytic_spaces.tex:51,english_source_aligned_workpass/components/01_analytic_spaces.tex:51,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/01_analytic_spaces.tex,51,coherent
gaga:no:4,GAGA,gaga:no:4,numbered_unit,gaga,4. A neighbourhood of a point in an analytic space,4. A neighbourhood of a point in an analytic space,english_source_aligned_workpass/components/01_analytic_spaces.tex:59,english_source_aligned_workpass/components/01_analytic_spaces.tex:59,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/01_analytic_spaces.tex,59,analytic-space
gaga:section:2,GAGA,gaga:section:2,section,gaga,2. The analytic space associated with an algebraic variety,2. The analytic space associated with an algebraic variety,english_source_aligned_workpass/components/02_associated_analytic_space.tex:1,english_source_aligned_workpass/components/02_associated_analytic_space.tex:1,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,1,analytic-space
gaga:no:5,GAGA,gaga:no:5,numbered_unit,gaga,5. Definition of the analytic space associated with an algebraic variety,5. Definition of the analytic space associated with an algebraic variety,english_source_aligned_workpass/components/02_associated_analytic_space.tex:5,english_source_aligned_workpass/components/02_associated_analytic_space.tex:5,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,5,analytic-space
gaga:lemma:1,GAGA,gaga:lemma:1,lemma,gaga,Lemma 1. --- gaga:lemma:1:item:aa) The Zariski topology on C n is coarser than the usual topology.,Lemma 1. --- gaga:lemma:1:item:aa) The Zariski topology on C n is coarser than the usual topology.,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,9,
gaga:lemma:1:item:a,GAGA,gaga:lemma:1:item:a,subitem,gaga:lemma:1,a) The Zariski topology on C n is coarser than the usual topology.,a) The Zariski topology on C n is coarser than the usual topology.,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,english_source_aligned_workpass/components/02_associated_analytic_space.tex:9,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,9,
gaga:lemma:1:item:b,GAGA,gaga:lemma:1:item:b,subitem,gaga:lemma:1,b) Every Z-locally closed subset of C n is analytic.,b) Every Z-locally closed subset of C n is analytic.,english_source_aligned_workpass/components/02_associated_analytic_space.tex:11,english_source_aligned_workpass/components/02_associated_analytic_space.tex:11,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,11,
gaga:lemma:1:item:c,GAGA,gaga:lemma:1:item:c,subitem,gaga:lemma:1,"c) If U and U' are Z-locally closed subsets of C n and C n' , respectively, and if f:UU' is a regular map, then f is holomorphic.","c) If U and U' are Z-locally closed subsets of C n and C n' , respectively, and if f:UU' is a regular map, then f is holomorphic.",english_source_aligned_workpass/components/02_associated_analytic_space.tex:13,english_source_aligned_workpass/components/02_associated_analytic_space.tex:13,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,13,analytic-space
gaga:lemma:1:item:d,GAGA,gaga:lemma:1:item:d,subitem,gaga:lemma:1,"d) Under the hypotheses of c), if f is moreover a biregular isomorphism, then it is also an analytic isomorphism.","d) Under the hypotheses of c), if f is moreover a biregular isomorphism, then it is also an analytic isomorphism.",english_source_aligned_workpass/components/02_associated_analytic_space.tex:15,english_source_aligned_workpass/components/02_associated_analytic_space.tex:15,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,15,
gaga:prop:2,GAGA,gaga:prop:2,proposition,gaga,"Proposition 2. --- There exists a unique structure of analytic space on X such that, for every chart :VU , the Z-open subset V is open and is an analyti","Proposition 2. --- There exists a unique structure of analytic space on X such that, for every chart :VU , the Z-open subset V is open and is an analyti",english_source_aligned_workpass/components/02_associated_analytic_space.tex:27,english_source_aligned_workpass/components/02_associated_analytic_space.tex:27,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,27,analytic-space
gaga:no:6,GAGA,gaga:no:6,numbered_unit,gaga,6. Relations between the local ring at a point and the ring of holomorphic functions at that point,6. Relations between the local ring at a point and the ring of holomorphic functions at that point,english_source_aligned_workpass/components/02_associated_analytic_space.tex:43,english_source_aligned_workpass/components/02_associated_analytic_space.tex:43,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,43,analytic-space
gaga:prop:3,GAGA,gaga:prop:3,proposition,gaga,Proposition 3. --- The homomorphism :O xH x is bijective.,Proposition 3. --- The homomorphism :O xH x is bijective.,english_source_aligned_workpass/components/02_associated_analytic_space.tex:49,english_source_aligned_workpass/components/02_associated_analytic_space.tex:49,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,49,
gaga:prop:4,GAGA,gaga:prop:4,proposition,gaga,Proposition 4. --- The ideal A x(Y) is generated by (J x(Y)) .,Proposition 4. --- The ideal A x(Y) is generated by (J x(Y)) .,english_source_aligned_workpass/components/02_associated_analytic_space.tex:55,english_source_aligned_workpass/components/02_associated_analytic_space.tex:55,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,55,
gaga:cor:1,GAGA,gaga:cor:1,corollary,gaga,"Corollary 1. --- The pair of rings (O x,H x) is a flat pair (in the sense of gaga:appendixAppendix, gaga:def:4Definition 4).","Corollary 1. --- The pair of rings (O x,H x) is a flat pair (in the sense of gaga:appendixAppendix, gaga:def:4Definition 4).",english_source_aligned_workpass/components/02_associated_analytic_space.tex:79,english_source_aligned_workpass/components/02_associated_analytic_space.tex:79,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,79,analytification;flatness
gaga:cor:2,GAGA,gaga:cor:2,corollary,gaga,Corollary 2. --- The rings O x and H x have the same dimension.,Corollary 2. --- The rings O x and H x have the same dimension.,english_source_aligned_workpass/components/02_associated_analytic_space.tex:83,english_source_aligned_workpass/components/02_associated_analytic_space.tex:83,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,83,
gaga:cor:3,GAGA,gaga:cor:3,corollary,gaga,"Corollary 3. --- If X is an irreducible algebraic variety of dimension r , the analytic space X h has analytic dimension r at each of its points.","Corollary 3. --- If X is an irreducible algebraic variety of dimension r , the analytic space X h has analytic dimension r at each of its points.",english_source_aligned_workpass/components/02_associated_analytic_space.tex:89,english_source_aligned_workpass/components/02_associated_analytic_space.tex:89,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,89,analytic-space;analytification
gaga:no:7,GAGA,gaga:no:7,numbered_unit,gaga,7. Relations between the usual topology and the Zariski topology of an algebraic variety,7. Relations between the usual topology and the Zariski topology of an algebraic variety,english_source_aligned_workpass/components/02_associated_analytic_space.tex:91,english_source_aligned_workpass/components/02_associated_analytic_space.tex:91,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,91,
gaga:prop:5,GAGA,gaga:prop:5,proposition,gaga,"Proposition 5. --- Let X be an algebraic variety and U a subset of X . If U is Z-open and Z-dense in X , then U is dense in X .","Proposition 5. --- Let X be an algebraic variety and U a subset of X . If U is Z-open and Z-dense in X , then U is dense in X .",english_source_aligned_workpass/components/02_associated_analytic_space.tex:93,english_source_aligned_workpass/components/02_associated_analytic_space.tex:93,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,93,
gaga:prop:6,GAGA,gaga:prop:6,proposition,gaga,Proposition 6. --- An algebraic variety X is complete if and only if it is compact.,Proposition 6. --- An algebraic variety X is complete if and only if it is compact.,english_source_aligned_workpass/components/02_associated_analytic_space.tex:101,english_source_aligned_workpass/components/02_associated_analytic_space.tex:101,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,101,proper-projective
