topic_id,label,pattern,cap,coverage,confidence,evidence_labels,rationale
sheaves,Sheaves,sheaf|faisceau,100,direct,high,sheaves-section-sheaves,The Stacks Project has a dedicated sheaf foundation.
sheaf-modules,Sheaves of modules,sheaf of modules|ringed space,100,direct,high,sheaves-section-sheaves-modules,Sheaves of modules on ringed sites and spaces are developed directly.
coherent,Coherent sheaves,coherent sheaf|coherent module,120,direct,high,modules-section-coherent;coherent-section-coherent-sheaves,Coherent modules and coherent sheaves on locally Noetherian schemes are explicit.
cohomology,Sheaf cohomology,sheaf cohomology|cohomology of sheaves,120,direct,high,cohomology-section-cohomology-sheaves,Derived sheaf cohomology is developed directly.
cech,Cech cohomology,cech|covering cohomology,100,direct,high,cohomology-section-cech;cohomology-section-cech-cohomology-cohomology,Cech complexes and their comparison with sheaf cohomology are explicit.
varieties,Algebraic varieties,algebraic variet|variety,100,direct,high,varieties-section-varieties,The varieties chapter supplies the modern scheme-theoretic setting.
affine,Affine coherent correspondence,affine|global sections,100,direct,high,schemes-section-quasi-coherent-affine;modules-section-quasi-coherent,Quasi-coherent modules on affine schemes and their module correspondence are explicit.
module-sheaf,Modules and associated sheaves,module associated|associated sheaf,100,direct,high,schemes-section-quasi-coherent-affine;modules-section-quasi-coherent,The affine module-to-sheaf equivalence is explicit.
projective,Projective schemes,projective space|projective variet,100,direct,high,constructions-section-projective-space;constructions-section-proj,Projective space and relative Proj are developed directly.
graded-proj,Graded modules and Proj,graded module|proj,100,direct,high,algebra-section-graded;algebra-section-proj;constructions-section-proj,The graded algebra and relative Proj constructions are explicit.
ext,Ext,ext functor|global ext|local ext,100,direct,high,derived-section-ext;cohomology-section-ext,Derived Ext and sheaf Ext have dedicated sections.
support,Support,support|closed subvariety,80,direct,high,modules-section-support,Support of modules is developed directly.
invertible,Invertible modules,invertible sheaf|line bundle|fractional ideal,80,direct,high,modules-section-invertible,Invertible modules are developed directly.
hilbert,Hilbert polynomial,hilbert polynomial|characteristic function,80,partial,high,varieties-subsection-hilbert,The varieties chapter records Hilbert polynomials but not every historical formulation.
euler,Euler characteristic,euler characteristic|arithmetic genus,80,direct,high,varieties-section-euler,Euler characteristics and arithmetic genera are treated in the varieties setting.
vanishing,Cohomological vanishing,vanishing|negative twist,100,direct,high,coherent-section-vanishing;properties-section-ample,Coherent cohomology vanishing and ampleness criteria are explicit.
